ROW TYPE,ATTRIBUTE_NAME,Realisation,Initialisation,Parameters,prog_ent_max,prog_ent_min,prog_ent_xmin,prog_ent_int,prog_ent_grad,eff_dcfl,eff_dcff,cpress_term,ent_fac_sh,orig_mdet_fac,r_det,cca_md_knob,mparwtr,qlmin,stag_dropoff,cape_timescale,efrac,thpixs_mid,c_mass_sh,gwd_frc,fbcd,gsharp,nsigma,nsigmasf,fcrit,ez_max_bm,g0_rp,ricrit_rp,orog_drag_param,a_ent_1_rp,g1_rp,a_ent_2,dec_thres_cloud,par_mezcla_rp,lambda_min_rp,near_neut_z_on_l,tke_diag_fac,cbl_mix_fac_nml,dbsdtbs_turb_0,two_d_fsd_factor,dp_corr_strat,ice_width,c_r_correl,aut_qc,m_ci_rp,ai,x1r,ar,mp_dz_scal,param_mp_czero,param_mp_tau_lim,qclrime,ps_anth_so2_emiss,ps_dry_depvel_so2,ps_sigma_updraught,biom_aer_ems_scaling,sea_salt_ems_scaling,ps_acc_cor_scav,ps_natl_dms_emiss,marine_pom_ems_scaling,ps_dry_depvel_acc,ps_bc_refrac_im,aparam,liu_latent,bparam,u10_max_coare,rho_snow_fresh,a_snow_et,rho_snow_et_crit_delta,rho_snow_et_crit,can_clump_broadleaf,can_clump_needleleaf,tupp_io,f0_io,z0v_io,nl0_io,rootd_ft_io,n_lai_exposed3and4,fsmc_p0_io,gs_nvg_io
Experiment,,1,1,398,1.704913269,0.442483396,-3.161518446,-1.841368914,-0.722390949,3.279567654,2.210350321,0.082763771,0.859733849,2.049247408,0.420998115,1.235938613,0.001563319,0.000936874,3.424915549,5080.960532,0.941056288,0.632204737,0.032404821,5.425141346,4.89079088,1.58257762,3.175773654,2.782110326,2.392578558,450.17738,9.054964594,1.104366549,0.390434971,0.272630678,1.007548159,0.052741466,0.085005108,0.226405457,60.37478851,2.998094594,1.93140022,0.447862791,0.000591804,1.65281483,3441.665594,0.47347712,0.014477306,2.835860593,1.232935921,0.025089463,0.155104134,0.979051958,0.760854835,6.519468929,5487.809407,0.0002091,1.183644682,2.671916962,1.087858321,0.854817378,1.59790688,1.430189114,0.791950337,3.35172959,2.034494779,0.534614915,0.087191762,0.001644689,-0.134557993,18.11330025,96.0734164,2.89E-06,5.442762549,101.516179,4.379093089,4.238270993,38.86765679,0.866842694,0.724419781,0.078922554,1.352985393,3.299985205,0.112222487,0.008847421
Experiment,,1,1,399,2.946377427,0.64060397,-2.910213503,-2.716428374,-1.153534729,3.674865216,4.362088509,0.828665959,1.347062562,2.378509867,0.934936607,0.312122161,0.001697588,0.000811798,3.533900321,2289.270821,0.718894698,0.856027916,0.031327184,1.314941337,6.502264813,0.589386827,1.240605375,1.531524813,0.651430455,336.6722364,19.89254505,0.502700885,0.380594656,0.238540642,0.881563241,0.039434978,0.130244866,0.091466991,24.39119763,1.651485051,1.772203657,0.07202846,0.000507557,1.201030625,9609.35208,0.709280873,0.134027681,2.973521979,1.011291928,0.02618321,0.143544703,0.326875209,1.553634467,4.291807368,1662.046099,0.000339127,0.887960152,2.409382594,0.784165021,2.404700132,2.423322609,1.667050149,1.602253537,1.77257158,7.701309116,0.975976109,0.045404864,0.006833226,-0.155151973,19.55396682,101.0757088,6.27E-06,23.55179841,124.6275072,4.707164614,5.788285976,32.52399518,0.807037162,0.796557549,0.05404171,5.259991821,1.51081537,0.296575627,0.007648191
Experiment,,1,1,400,1.717063635,0.653679853,-3.473606444,-1.919513509,-0.74078437,2.350796926,4.902108362,0.161118964,0.692811949,1.211969766,0.65618815,0.303865064,0.001420295,0.000471139,1.308603848,2713.526609,0.834510358,0.302599498,0.033854734,5.443043684,7.850929319,1.273909007,2.213033119,1.213799512,1.170034816,391.5580238,27.32437973,0.365973541,0.167810795,0.374575229,1.384299759,0.039843986,0.108594976,0.108363446,28.89691906,7.022838111,1.500463852,0.145938721,0.000142269,1.758341027,9804.450878,0.293164439,0.558543851,2.362722566,0.909003741,0.013783528,0.32232703,0.488149806,3.022667005,10.30208008,4016.118039,0.000180368,1.149363416,0.877533698,1.411775988,1.669645191,3.415457776,1.355911005,1.113071178,3.173416015,0.310564798,0.934899894,0.097414606,-0.005430924,-0.135326113,17.65788125,155.0471976,3.88E-06,68.43389143,223.481089,6.069042145,8.092802679,40.47800747,0.776644939,1.846528608,0.061738836,4.087910064,1.964767561,0.476706973,0.010197291
Experiment,,1,1,401,2.481784693,0.663793692,-3.215729689,-2.788612507,-1.073599629,1.549473408,3.515475174,0.501134273,1.452957484,1.894030123,0.602835661,0.595572996,0.001780618,7.33E-05,2.699901818,4769.497331,0.609138701,0.247264754,0.0459012,4.607904944,1.588430834,2.010503977,2.847871056,3.238053863,0.597565034,407.7346875,8.64216566,1.15711737,0.503844777,0.132066844,0.48807312,0.058833621,0.345132735,0.320451373,85.45369939,4.675747036,1.126206145,0.255409188,0.000550189,1.848848806,12699.31945,0.230652336,0.496844466,2.536390555,2.33469206,0.010927814,0.181611806,0.713262379,0.870811603,11.12489368,4090.850687,0.000242162,0.837128657,1.138227658,0.324673481,2.80206121,2.740757455,1.691045727,1.691051179,1.057070966,4.449423165,0.484201981,0.099705854,-0.006705644,-0.135187132,17.13301353,116.646316,4.29E-06,57.16145248,173.8077685,3.855125143,5.350103263,34.26407292,0.837565199,1.124000158,0.020464943,2.89282497,2.628447742,0.530343358,0.016429625
Experiment,,1,1,402,2.148487076,0.558399519,-2.793781444,-1.541699353,-0.751704782,2.102305306,0.898549322,0.42846321,0.555380228,0.548856474,0.683508699,0.977199094,0.001734384,0.000308761,3.940414619,2362.972687,0.760435704,0.295258774,0.022003416,3.072731277,2.814422785,0.712928252,3.492009301,3.892163385,1.415756441,374.1382101,24.2057545,0.413124904,0.378662819,0.43185627,1.595990565,0.004161538,0.099786649,0.329004102,87.73442717,0.950139553,1.112149078,0.792904857,9.96E-05,1.461046608,19399.31702,0.864970199,0.772320316,2.854810494,0.881584735,0.022926406,0.235169101,0.136089803,1.910170416,6.667378174,1352.055322,0.000125599,0.66925376,1.756538521,1.241460763,1.577067598,0.247718945,0.9584635,0.913767965,0.609310691,5.908743649,0.537537658,0.040570383,-0.00480456,-0.169772634,15.97968298,130.2661292,2.47E-06,56.95684182,187.222971,3.951253003,6.262406705,31.47044514,0.842889644,1.404002593,0.054759973,4.930347904,2.550967026,0.777967926,0.010998206
Experiment,,1,1,403,2.25820482,0.567966613,-3.390040951,-3.204114838,-1.112694951,1.249075551,3.841660862,0.337390342,1.441601051,1.254975743,0.515060255,1.146247216,0.001584025,0.000455813,3.306700615,1432.31004,0.945840737,0.577830494,0.035031801,3.878074456,2.625329433,1.264286905,3.019785627,3.997015908,0.843997691,415.4657745,12.92251548,0.773843144,0.042431475,0.336124007,1.242197416,0.068675883,0.277975355,0.407988594,108.7969583,3.562198338,1.407904671,0.102807652,0.000666924,1.227059572,15577.78238,0.846668152,0.228428659,2.487133728,1.528826206,0.035406643,0.169861506,0.689908652,2.421758665,3.515912842,833.7981271,5.54E-05,0.705405816,1.710716895,1.074891864,1.325779083,2.138418877,0.754557285,1.757785974,3.579184514,4.890455713,1.00451809,0.037421054,0.001752178,-0.165159032,18.56364937,107.0951829,5.30E-06,31.27851974,138.3737026,5.502053813,4.980139547,29.65628483,0.949281933,0.994070399,0.05923086,4.627554981,0.833915867,0.232103107,0.007255913
Experiment,,1,1,404,2.189982252,0.619759115,-3.500615717,-3.282866484,-1.114839764,1.414181902,3.55916314,0.403132686,0.779278144,2.846626114,0.862666778,1.349619315,0.001436736,0.000196328,1.317945075,1412.536476,0.40327282,0.708345944,0.038721894,2.641248366,6.103308722,1.194614943,1.76602873,3.302375307,0.799504232,376.2280398,14.64770978,0.682700583,0.146583542,0.456731189,1.687919611,0.078237765,0.235094642,0.139236915,37.12984398,0.775868276,1.676391884,0.163710147,0.000605711,1.609282799,27001.49393,0.797242099,0.523445877,2.852070569,1.094527971,0.031969106,0.206887393,0.132832273,3.308653323,7.271562017,3516.195779,0.000118064,1.060016323,0.305783694,0.831384146,1.138579228,1.555012195,0.792757332,1.340946973,2.194574998,1.672895616,1.031099747,0.042179003,0.00277032,-0.161205235,18.62078129,129.5042865,5.88E-06,74.23835181,203.7426383,6.108633147,8.01934414,28.73831139,0.753573686,0.987984736,0.073146963,1.663531778,2.452281416,0.180494571,0.006850851
Experiment,,1,1,405,2.441054408,0.450708184,-3.044670556,-2.799605776,-1.067542087,2.016667113,4.71814885,0.215972717,0.906271676,1.980588954,0.841489248,1.721638905,0.001374746,0.000108244,3.214568119,1274.5528,0.519093619,0.37419395,0.033558096,4.734556788,2.136068016,2.000090788,2.223825562,4.083729402,0.572796274,396.3500775,31.1080415,0.321460289,0.292775613,0.126293215,0.466735793,0.041122046,0.167722378,0.123380534,32.90147578,2.185271654,0.94098267,0.722085966,0.000226409,1.297549245,30909.62086,0.016666288,0.503105524,2.474282089,0.5122602,0.024154986,0.144428339,0.439969603,3.463825176,5.626462252,2094.49858,1.17E-05,0.859293052,1.605814614,1.155299245,0.686499355,1.587877367,0.763343996,1.257812891,2.106707859,6.351067174,0.947470611,0.039978709,0.003328366,-0.162004771,23.21918173,131.9625047,2.56E-06,72.95628926,204.9187939,9.402345654,4.736509385,29.49082119,0.732925946,1.4127466,0.071196788,2.999632206,3.256943902,0.478119247,0.006377623
Experiment,,1,1,406,1.992611414,0.526232559,-3.029798761,-1.837867664,-0.78028292,1.62066037,3.210090874,0.754013297,2.018417322,2.6564983,0.641185704,1.705435202,0.001567906,9.11E-05,2.763709887,1502.849583,0.891605792,0.950125009,0.022544864,4.656706095,4.598348412,0.948400074,2.753255279,1.878475594,1.343002149,420.4273964,27.89109453,0.358537381,0.061767418,0.253057057,0.935210862,0.076528733,0.121120095,0.290876109,77.56696239,0.225773472,2.188763516,0.082672604,0.00057983,1.40369462,5710.898686,0.927015111,0.365072126,2.303756659,1.41100594,0.02836899,0.201241378,0.4138893,3.619499334,6.910613991,4129.714531,0.000128587,1.076644028,0.298734333,1.003771685,2.448927234,1.631659323,1.109446311,1.335869641,3.019781947,5.639021866,0.765007666,0.119258899,-0.000437262,-0.116854521,19.98451626,152.1490599,2.51E-06,15.7979036,167.9469635,6.293441874,6.599637302,27.7126982,0.768012625,1.710614707,0.045445277,1.039277623,3.103446824,0.030729491,0.013745516
Experiment,,1,1,407,2.246635805,0.308152604,-2.791023128,-2.246229187,-0.915213409,1.370415387,5.301389016,0.731407349,1.348663484,0.894735535,0.468456287,0.768095849,0.001013936,0.00038431,2.237697716,1521.746048,0.900492999,0.874111309,0.032538365,2.027559203,5.071648212,1.366681732,1.893006395,3.517108509,2.288836138,310.1510813,20.47541489,0.488390592,0.41550701,0.376018783,1.389634633,0.071594082,0.074999135,0.416674135,111.1131026,8.523138658,0.995203789,0.509350681,0.000188489,1.372890317,5852.125414,0.613234742,0.374999041,2.41334222,0.372662742,0.006381418,0.267530493,0.183645863,0.555372329,10.59989116,5827.416729,0.00034283,0.921487299,0.579120907,1.195187314,3.294777471,2.453554383,1.949392051,1.031142643,1.54025904,4.611157057,0.821952414,0.055775604,-0.000792196,-0.156378648,17.0851149,62.33922225,2.69E-06,44.00330674,106.342529,5.428301303,7.163624354,37.64428185,0.929459555,1.048692882,0.029402509,4.074893515,1.953500887,0.716107256,0.009649778
Experiment,,1,1,408,2.527087775,0.677890977,-3.211282785,-2.819734544,-1.089167711,2.543625825,6.009668207,0.300180146,0.96120755,0.48343298,0.91059007,1.794782791,0.001149778,0.000250176,1.354781366,3780.931697,0.947870151,0.157869011,0.015687198,4.013259441,5.485278317,2.005528523,3.142203482,1.700301385,4.230947347,426.0439394,18.98432558,0.526750342,0.111271389,0.26771351,0.989376015,0.032818402,0.065355429,0.136449099,36.38642652,2.291162142,0.627704046,0.881813841,0.000215204,1.070462892,31188.279,0.835312745,0.557318087,2.340976993,1.276831073,0.021244027,0.3156159,0.540402737,1.832584857,10.42816621,970.3510026,0.000387514,1.193857369,0.625797598,1.222159681,1.070512425,0.930152788,1.348741333,1.130585826,0.570690043,6.03135904,0.553789411,0.067423831,0.004500678,-0.143898819,23.08501671,112.5432091,3.99E-06,37.29450165,149.8377107,9.546632529,5.455608636,39.30011656,0.931416203,0.821821004,0.087157387,2.293615673,0.589406596,0.274015616,0.016207357
Experiment,,1,1,409,2.43252136,0.48523575,-3.375451012,-3.800627633,-1.269715771,2.360196851,3.036752968,0.503915096,0.674133779,0.384439697,0.910848945,0.276488116,0.001115261,0.000550042,2.44797348,992.1971632,0.496741573,0.719122694,0.055861957,4.286060666,0.818940813,1.356743029,1.108630838,3.746374681,1.065706053,370.9416182,14.99559624,0.666862447,0.606596913,0.45138608,1.668165947,0.017083225,0.344710502,0.141568407,37.75157511,3.386819613,1.273811429,0.078550536,0.000326314,1.426682728,4667.068094,0.649635005,0.743132854,2.634585205,2.756568036,0.025291867,0.218191747,0.350990975,1.666749072,10.27406717,2986.31619,0.000396077,1.176123603,0.684335166,0.975733811,3.116392291,0.328408115,1.211218214,1.641358966,0.445102606,2.421974767,0.95049645,0.091022385,0.001305652,-0.132533536,23.26539023,125.8411401,3.67E-06,66.58270222,192.4238423,6.98552115,5.569289979,36.4436838,0.780459602,0.802796221,0.0764129,6.64479928,2.905147561,0.284619561,0.019287626
Experiment,,1,1,410,2.934472372,0.421288111,-2.86705659,-3.107273892,-1.230726319,0.95319156,5.723619656,0.596476056,0.716762715,1.143723669,0.873873339,0.797436235,0.001516917,0.00015197,1.632533877,2405.020731,0.824595304,0.226469732,0.03336123,3.93862146,6.070048805,1.895351103,3.717282804,1.918145903,2.575756387,442.3994458,42.32697738,0.236255944,0.513983734,0.250694476,0.926479586,0.041583054,0.050152155,0.262811152,70.08297383,0.671911929,0.971872902,0.122680214,0.000735787,1.056238747,31784.87627,0.922791794,0.765729675,3.192994562,1.623222721,0.027418505,0.148566744,0.471431036,2.963284085,10.32511688,2257.929133,0.00028923,1.134814606,2.827761683,1.170089487,1.541683764,0.754923262,1.369940584,1.499785088,2.552333081,7.841456391,0.6176779,0.035322063,-0.00625965,-0.174465937,15.89886293,53.45238722,2.81E-06,11.84997651,65.30236373,6.875457376,7.105237654,33.14813876,0.867552901,0.866566814,0.069842302,3.920422395,2.243364346,0.076569181,0.012331521
Experiment,,1,1,411,2.477052489,0.327134298,-3.469751223,-4.855579728,-1.493684617,1.842782371,5.169354674,0.592617612,0.760460782,1.88858896,0.84469555,1.420143005,0.001194823,0.000780011,2.15754154,5675.746439,0.969908505,0.572392209,0.048679523,1.055269456,9.688838363,2.396154071,2.120634167,3.84844357,0.735564178,445.7149936,27.18171372,0.36789439,0.563843484,0.156809292,0.579512599,0.073087629,0.072450225,0.155619979,41.49866117,4.272151124,0.545584055,0.06721633,0.000620484,1.508276473,8230.475043,0.024965393,0.53347642,2.719476668,1.060753756,0.025867506,0.175564559,0.842871482,0.248868425,4.227267838,1045.277292,0.000561613,1.309214287,0.663149652,0.644249815,2.138013635,1.821126564,1.602181994,1.05232656,2.829489971,4.669808378,0.748461862,0.056218305,0.005376023,-0.149937283,20.22697137,74.22847055,2.51E-06,62.47194387,136.7004144,7.969458507,8.325773779,31.91110341,0.830026618,1.130233517,0.054341276,1.417822367,1.651251603,0.344644022,0.00597811
Experiment,,1,1,412,2.387345044,0.683736421,-2.831136597,-1.637368909,-0.81984929,2.15980044,5.581172367,0.38130872,1.708280904,2.51300921,0.406423126,0.381256589,0.001104024,0.000377939,1.12257532,3932.919478,0.907607241,0.581832553,0.050368426,6.049476229,6.210746781,0.347871165,4.210632582,2.734342263,1.31480818,334.5730918,25.91126039,0.385932597,0.366587405,0.042292121,0.156296969,0.091997557,0.083902467,0.018642454,4.971321116,1.017334387,1.914590245,0.625810263,0.000477737,1.80551435,29787.08793,0.702212159,0.655622986,2.914500871,0.871564181,0.031273525,0.269292027,0.258403199,2.948820618,10.95394657,3026.541197,0.00014935,0.795835682,0.556217243,0.891672956,1.334382966,0.266520118,0.736581165,1.30725844,1.45465134,5.534131587,0.989707558,0.102286764,0.004673617,-0.12221545,21.78490483,98.69340136,5.10E-06,47.54676963,146.240171,8.55408991,6.236779815,34.48460144,0.716951577,0.933976274,0.025798263,0.821107108,3.680005871,0.517393613,0.005018681
Experiment,,1,1,413,2.462199,0.398672993,-2.666099149,-2.054107824,-0.919988597,3.102184206,6.983317121,0.816519244,1.144364243,2.000015768,0.577395774,0.82827934,0.001713987,0.00041176,2.014425378,1647.332454,0.653804917,0.284181429,0.035854208,2.682754907,3.676067667,0.537786572,3.041118602,3.046393966,0.932560674,441.2845231,20.9476863,0.47737969,0.277379276,0.124420871,0.459816261,0.016112008,0.100679896,0.133543824,35.61168634,1.348354224,1.346894833,0.175024182,0.000315274,1.284833386,32977.79793,0.215523124,0.697015097,2.324801145,0.708610317,0.037507739,0.22252432,0.172723419,1.000438234,2.445690377,3952.634075,9.59E-05,1.409711439,1.175558927,1.65354834,1.204679913,3.00893966,1.879501789,1.137375336,2.802331918,0.827874525,0.885781903,0.097826733,-0.004044659,-0.133685565,22.29363933,85.64342038,1.23E-06,61.21774338,146.8611638,6.152257695,6.320773644,38.07614057,0.794248337,0.85991845,0.070803246,3.729882131,0.975381348,0.080503624,0.0198078
Experiment,,1,1,414,1.861456712,0.389276472,-3.413165056,-2.969711674,-0.984127076,2.626694734,5.059927435,0.747978552,1.246323093,1.564388448,0.579524289,1.525964354,0.001482413,0.000489548,3.451548007,975.7981119,0.833430508,0.884268557,0.027113728,5.684839533,3.454029143,1.131918314,2.549157324,2.194112875,2.308337769,436.7879366,44.33905302,0.225534812,0.2741452,0.288848377,1.067483132,0.059582195,0.309866579,0.191717819,51.12475175,3.595168403,0.747005182,0.013572829,0.000284994,1.447452273,22838.46223,0.11257893,0.635830861,3.128652464,0.725598785,0.016790111,0.225168195,0.163260201,3.144061601,5.502079705,1767.249895,0.000466452,1.089119145,0.489977139,1.109342375,1.395429514,1.206715398,0.789519875,1.173548515,0.322259969,6.065673784,1.012160915,0.098137432,-0.005660903,-0.135110107,22.66470188,123.9258129,2.84E-06,60.71106509,184.636878,6.779757849,5.174561489,38.51627196,0.851221965,1.430724907,0.040795021,3.965653501,1.470150195,0.251458525,0.007561269
Experiment,,1,1,415,2.777041844,0.51152511,-2.836005113,-2.587729088,-1.092823911,1.973848397,3.732094324,0.323387854,1.414691874,1.162115143,0.892630013,0.258489173,0.001383027,0.000554405,1.064954986,4158.870177,0.973935345,0.617022685,0.023788263,1.995077405,2.41709824,1.06248957,2.487901695,1.903627377,2.168304535,439.6671353,11.81391388,0.846459531,0.214697319,0.188896288,0.698094979,0.025068451,0.281834472,0.068119895,18.16530545,2.795202861,1.468705808,0.033460048,0.000510651,1.086188163,33982.34256,0.501003285,0.791521447,2.614325997,1.369511248,0.051280987,0.257353902,0.207345674,0.716341256,3.99272007,1961.528149,0.000295273,1.210511248,0.475797164,0.588537575,3.174020853,1.131510656,1.283148226,1.520996638,0.907191202,2.365815367,0.44921865,0.099204138,0.003475302,-0.125315745,19.36834409,77.39543924,2.05E-06,58.73538853,136.1308278,7.816345179,2.376560803,35.17127422,0.846255543,0.941269354,0.035138772,1.503602318,0.797114167,0.428331787,0.009929907
Experiment,,1,1,416,2.229115823,0.630795691,-3.530972893,-3.464375198,-1.159785423,3.944075863,2.681440937,0.175347848,0.864675997,2.352211789,0.541738259,0.891201937,0.001341748,0.000561624,1.474579318,2209.971033,0.932342096,0.421769005,0.043895705,4.160366611,8.637055567,1.869102004,3.594310311,3.278967565,2.974293682,321.3326825,28.15493152,0.355177564,0.457942535,0.179398494,0.662994433,0.075769922,0.152670259,0.297987288,79.46327687,0.355647771,0.809273053,0.805486592,0.000518478,1.627078826,11143.23324,0.882315252,0.631940814,2.359718457,1.585778402,0.011971583,0.308735013,0.100510547,2.20672309,7.584088887,7457.346199,0.000471312,0.74284441,0.901820421,1.179983491,0.739226321,2.353183498,1.147109453,1.575042013,2.179470158,3.617056334,0.540245053,0.100323461,0.000951445,-0.127148979,17.80833081,121.0686442,3.57E-06,53.62299496,174.6916392,3.034839022,6.133284942,39.89475277,0.880220033,0.656789742,0.072862391,5.40455136,1.401093014,0.037852287,0.012248183
Experiment,,1,1,417,2.720814173,0.510511699,-2.615681033,-2.010384635,-0.963762899,1.946586505,3.086090383,0.519927765,0.585351486,1.106844633,0.637474224,1.86112057,0.001396733,0.000134847,2.796429531,3696.32485,0.649827059,0.23319054,0.030005509,4.831683067,3.680955037,1.098251348,1.229055662,4.028551466,2.606442828,337.7067027,14.05162588,0.711661418,0.184267308,0.172943627,0.639139491,0.029080039,0.160825623,0.149358471,39.82892562,2.537743321,1.825037404,0.192676371,0.000409295,1.909559541,16111.66667,0.529833133,0.748749012,2.52012701,0.558490316,0.014925397,0.242074652,0.447749514,0.468538084,9.612020816,1574.053936,0.000792527,0.755457824,0.972768694,1.266460268,2.776018897,0.850700872,1.637268172,0.934651442,2.639074407,4.624657083,0.67050598,0.081935484,0.001547125,-0.137898682,15.61487452,110.1961299,3.17E-06,64.19927764,174.3954076,2.596729024,3.775033206,31.73988944,0.726041711,0.617531653,0.074702166,4.696962336,1.146685456,0.364500782,0.015726579
Experiment,,1,1,418,1.663632238,0.440407337,-3.328993367,-2.136718326,-0.774145629,2.617648031,1.46067916,0.40662647,0.677006444,1.771907701,0.859101697,0.468679173,0.001273534,9.31E-05,1.576770833,3444.687833,0.938306217,0.741581202,0.032260178,4.617350116,3.055068591,0.637197853,2.413173363,1.795920378,5.150005088,356.5549155,38.0628884,0.262723099,0.436699344,0.283410837,1.047387876,0.008727691,0.077262668,0.396338746,105.6903322,2.943586141,1.750925461,0.646878027,0.00057303,1.795874263,19001.44396,0.036273749,0.537692665,2.219304625,1.387470406,0.023224326,0.270420643,0.934352954,0.795849755,10.03725443,839.507155,0.000317362,1.053109273,3.418319823,0.930468281,2.226973339,3.762641086,1.424139795,0.969586825,2.490513659,6.930669909,0.526035948,0.032885707,-0.001721921,-0.171431439,22.90260561,105.0900727,3.43E-06,48.7748582,153.8649309,5.490405521,5.251591663,31.00670161,0.843675039,1.2360985,0.04448141,7.164889273,0.921857107,0.683826868,0.012565378
Experiment,,1,1,419,2.896142296,0.652501731,-2.631025368,-1.938765944,-0.984888898,3.55003874,5.749611786,0.888341824,0.732246593,0.982329634,0.617671809,0.781855713,0.001600026,0.00047968,3.822463549,1499.154324,0.870344416,0.526802682,0.01765099,5.71869909,7.22086056,1.666305707,3.04944388,2.225494566,0.829896339,368.8862772,26.13209708,0.382671164,0.766544563,0.32052687,1.184555824,0.087824127,0.179506853,0.033886789,9.036477072,1.537617097,1.688670716,0.606796656,0.000552613,1.867911802,13110.22277,0.37608136,0.101693369,2.938082955,2.013587328,0.034603927,0.174951715,0.127735525,3.299259191,3.556348269,2202.853505,0.000350791,0.976550208,0.352581007,1.050591737,1.801269312,1.068583046,1.825914139,0.687166043,3.391837599,8.267143149,0.602151657,0.111213804,-0.0059373,-0.127318383,16.54495291,82.84987939,2.88E-06,19.80252017,102.6523996,6.099613693,7.55035524,38.14728918,0.869201127,0.591655458,0.097705632,1.780072058,3.200711468,0.746664598,0.006600622
Experiment,,1,1,420,1.655130307,0.354020579,-3.156676119,-1.989707719,-0.742467143,2.837557263,5.500356041,0.01816758,1.404442979,0.972376642,0.691038533,1.610004685,0.001277059,0.000304626,1.407081948,2181.003522,0.978233196,0.614227619,0.038203615,2.511860267,5.957683048,1.172905634,3.231633161,3.264211723,2.074125102,425.3087422,39.18140989,0.255223077,0.101511765,0.365445958,1.35056115,0.05037823,0.10715966,0.22232097,59.28559201,0.708579962,0.917512324,0.466250286,0.000123465,1.592045122,5243.607146,0.057238547,0.499801052,2.46573233,0.748267507,0.016943653,0.157671647,0.108556148,3.368888268,8.756003143,884.3991767,0.000304526,0.942467687,0.632014086,1.082661904,1.129018209,0.296229614,1.318671871,0.773196478,0.37188381,3.481178269,0.835885314,0.04396832,-0.005779912,-0.168651459,16.86343772,149.9954499,4.51E-06,44.37057291,194.3660228,10.07947131,11.15079429,33.49106665,0.738780398,1.282690257,0.051735868,4.048211743,1.912126521,0.783908317,0.007916013
Experiment,,1,1,421,2.346410219,0.680569166,-3.439891942,-3.219730855,-1.133843762,2.930081369,3.274867338,0.335115658,1.860071252,2.294349296,0.503487427,0.542251892,0.001633467,0.000437399,1.739302166,2067.917737,0.917811818,0.252066597,0.034055768,3.583074158,0.737275966,1.623929161,2.059189542,4.165355196,1.825480143,457.0182922,22.38626602,0.446702455,0.238480869,0.356589637,1.317831268,0.058995152,0.150852111,0.173371769,46.23247176,3.487469475,2.341305795,0.397059603,0.000209344,1.641758718,21565.12606,0.172657094,0.633951426,2.512279518,1.289714484,0.024801857,0.255282148,0.663524011,1.107302364,8.058541542,2510.548141,0.000738201,1.18170998,0.963874195,1.120147651,2.216537385,0.45237039,1.531072545,1.534211134,2.231211429,8.361377745,0.638087001,0.113277404,-0.00197665,-0.122084491,16.17340851,79.46704971,2.45E-06,25.74412645,105.2111762,2.768810377,7.344066595,38.98469888,0.793319059,1.333835653,0.023528412,2.466057555,2.292828535,0.499995631,0.010728258
Experiment,,1,1,422,1.612457254,0.684592821,-3.369480407,-1.346065497,-0.602662153,1.107087365,5.003580562,0.147365395,1.455628306,1.337279084,0.783461556,1.558799129,0.00131962,0.000623548,1.349950269,1379.858813,0.415947496,0.429289996,0.020062897,2.615397435,6.160779926,2.084019036,2.978902507,2.914229256,0.613357127,368.1604259,34.89102284,0.286606674,0.743321527,0.421674805,1.558363408,0.044534154,0.103205611,0.214074909,57.08664228,3.210860822,1.186178416,0.360453949,0.00031946,1.07946611,23762.86207,0.253697079,0.448564568,2.580066233,1.120163002,0.028818684,0.284789545,0.899739466,0.627337518,7.296713315,2863.122773,0.000645722,1.165993431,0.674733131,1.61157568,2.513717304,0.670808052,1.500604086,1.127180034,0.787119988,1.70895247,0.578437556,0.114746518,-0.000308227,-0.119509625,20.20472804,109.0211267,3.23E-06,11.01757435,120.0387011,7.992644628,4.888256357,34.65430235,0.909090589,0.997639329,0.077210525,6.117082023,3.583347561,0.39991708,0.01262017
Experiment,,1,1,423,2.669595974,0.590257028,-3.512264978,-4.638164027,-1.488618053,1.279420735,2.714185008,0.772395732,1.252444784,2.200184246,0.851719534,0.535759799,0.001404788,0.000523783,3.625435469,3658.546939,0.77364966,0.472247458,0.047644607,2.246560126,7.177572618,2.412853053,2.626306356,2.86887756,1.598816478,427.930605,32.06122647,0.311903227,0.509641173,0.221458418,0.818433283,0.058341314,0.358436803,0.223722332,59.65928848,1.655850166,1.397009666,0.300095059,0.000186229,1.334440359,8632.675515,0.570212453,0.357618365,2.197269393,1.151580339,0.007274082,0.271131466,0.19119429,2.086589132,6.217584584,1286.60648,4.85E-05,1.082199368,1.586020608,0.653767189,3.201097721,2.160853417,1.705797437,1.806732327,1.509054176,3.297277547,0.450343775,0.075003304,0.0032982,-0.140424761,16.3612992,72.85134137,1.53E-06,39.12239675,111.9737381,8.195359533,2.881253414,28.94717661,0.800220793,0.9648618,0.072384723,2.123787236,3.738875918,0.467144631,0.008349133
